date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:49	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5eb776e329e80%22	https://www.sagdiclar.com/robots.txt		(from )
20:31:50	28209/28209	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Sep%202025%2017:31:50%20GMT	https://www.sagdiclar.com/	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/index.html	(from )
20:31:50	1017/1017	---MC-	200	added ('OK')	text/javascript	date:Tue,%2009%20Sep%202025%2017:31:50%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.google.com/recaptcha/api.js	(from https://www.sagdiclar.com/)
20:31:50	19481/19481	---M--	200	added ('OK')	image/png	etag:%224c19-5f0c9ba76e4c0%22	https://www.sagdiclar.com/frontend/image/favicon.png	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/image/favicon.png	(from https://www.sagdiclar.com/)
20:31:50	121457/121457	---M--	200	added ('OK')	text/css	etag:%221da71-5eb8b6b9d3680%22	https://www.sagdiclar.com/frontend/css/bootstrap.min.css	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/css/bootstrap.min.css	(from https://www.sagdiclar.com/)
20:31:51	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5eb776e329e80%22	https://www.sagdiclar.com/frontend/assets/css/font-awesome.min.css	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/assets/css/font-awesome.min.css	(from https://www.sagdiclar.com/)
20:31:51	17372/17372	---M--	200	added ('OK')	text/css	etag:%2243dc-5eb776e329e80%22	https://www.sagdiclar.com/frontend/assets/glightbox/css/glightbox.css	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/assets/glightbox/css/glightbox.css	(from https://www.sagdiclar.com/)
20:31:51	6450/6450	---M--	200	added ('OK')	text/css	etag:%221932-5eb776e329e80%22	https://www.sagdiclar.com/frontend/assets/css/flexslider.css	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/assets/css/flexslider.css	(from https://www.sagdiclar.com/)
20:31:51	118258/118258	---M--	200	added ('OK')	text/css	etag:%221cdf2-5ff0eaba69780%22	https://www.sagdiclar.com/frontend/assets/css/main.css	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/assets/css/main.css	(from https://www.sagdiclar.com/)
20:31:52	55789/55789	---M--	200	added ('OK')	text/css	etag:%22d9ed-5eb776e329e80%22	https://www.sagdiclar.com/frontend/assets/css/animate.min.css	C:/Users/emin1/Desktop/Site%20Kopyalama/EnesAbi2/www.sagdiclar.com/frontend/assets/css/animate.min.css	(from https://www.sagdiclar.com/)
